origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,pct_Other,Race,Poverty,latitude,longitude,origin_geoid_type
250250924004,1421,0.0,50.25,94.66,5.34,Minority,High_poverty,42.2952344,-71.0903803,HPM
250250924002,875,5.37,50.97,89.48,5.15,Minority,High_poverty,42.2948437,-71.0831794,HPM
250250819002,874,3.43,51.03,96.57,0.0,Minority,High_poverty,42.3161025,-71.0896021,HPM
250250813003,1602,2.43,52.06,96.19,1.38,Minority,High_poverty,42.319963,-71.0998783,HPM
250251001006,1235,0.65,53.44,99.35,0.0,Minority,High_poverty,42.2923379,-71.0849406,HPM
250250904003,947,2.85,54.7,88.06,9.09,Minority,High_poverty,42.318678,-71.073243,HPM
250250607002,1433,9.91,54.85,74.6,15.49,Minority,High_poverty,42.3375293,-71.0546728,HPM
250251010021,1197,7.52,56.47,81.7,10.78,Minority,High_poverty,42.2759023,-71.0799263,HPM
250251606024,1013,19.55,56.96,64.26,16.19,Minority,High_poverty,42.4069348,-71.0286006,HPM
250250611012,1593,13.81,57.5,64.41,21.78,Minority,High_poverty,42.3255967,-71.0540446,HPM
250250820003,1087,1.29,59.89,93.29,5.42,Minority,High_poverty,42.3152446,-71.0853695,HPM
250250403001,681,25.99,60.06,58.0,16.01,Minority,High_poverty,42.3793471,-71.0607392,HPM
250250806013,411,12.65,64.48,82.73,4.62,Minority,High_poverty,42.3294202,-71.0868477,HPM
250250902002,743,4.17,66.49,95.83,0.0,Minority,High_poverty,42.3064988,-71.0804839,HPM
250250819003,470,15.11,71.28,75.53,9.36,Minority,High_poverty,42.3146951,-71.0913601,HPM
250259801011,457,38.29,76.72,50.77,10.94,Minority,High_poverty,42.3265116,-70.9390337,HPM
250250408011,1115,3.05,77.22,87.62,9.33,Minority,High_poverty,42.3783177,-71.0577297,HPM
