panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_blockage_pct,sem_blockage_pct,sd_blockage_pct,median_blockage_pct,mean_blockage_ratio,sem_blockage_ratio,delta_mean_blockage_ratio,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,35.33860497765722,3.5818651229766374,14.32746049190655,34.796406015799604,0.3533860497765722,0.03581865122976637,-0.0071624466291307,16,43.00566599989255,37.790803252557446,12.19630709426627,29.31820117536837,32.22610722610722,53.912388548745305,27.755281690140837,67.17681642594053,46.60015539803087,44.17969320672023,37.36670480549199,30.86458374066398,11.03965702036441,26.975561950202447,39.958907027722866,25.05084508030016
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,47.085971719548745,3.412436471750935,13.64974588700374,43.59995835468063,0.4708597171954874,0.03412436471750935,-0.0384686809047078,16,66.91717913601651,45.44748729531338,35.4632329122125,40.3282233954583,37.92307692307692,68.49110121054423,43.87408568443051,64.3690603280304,68.77199417418612,43.32583102493075,49.16189931350114,52.22148359598013,26.848874598070736,39.95207143326111,42.416842483278714,27.86310400448839
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,33.725143671390626,3.6176984410267803,14.470793764107121,30.26601038966204,0.3372514367139063,0.0361769844102678,-0.0076567093719777,16,41.383752081177924,27.73475935828877,12.19630709426627,26.29935934769947,30.606817632363608,48.96315816959856,27.755281690140837,65.829700960321,55.62297616814169,35.19838571710569,37.36670480549199,29.92520314696047,11.03965702036441,24.686339958309212,39.94305051172004,25.05084508030016
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,45.20535242014223,3.4949059625378776,13.97962385015151,40.13067216730597,0.4520535242014223,0.034949059625378774,-0.0384970475644328,16,59.42052654559029,36.38757463106905,35.4632329122125,37.92776523702031,37.62890625,62.82963223452591,43.87408568443051,63.91391391391391,75.44421277234709,34.69879518072289,49.16189931350114,51.71382396217767,26.848874598070736,37.775712384613755,42.33357909759161,27.86310400448839
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.43497776609123,4.644680929027502,18.57872371611001,35.25131373346722,0.3943497776609123,0.046446809290275025,-0.0043861244274675,16,67.6751812236683,38.735256335396464,12.60247688819117,28.84402348510025,32.546779268090745,65.9151415997531,27.842085450781102,68.13240292512103,64.79675536720781,45.79470838161452,37.9558481988437,30.9284332688588,10.29090909090909,32.335000497569276,40.599729995652474,25.964912280701753
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,50.50334474948337,4.02857082921299,16.11428331685196,45.27515647172881,0.5050334474948337,0.0402857082921299,-0.0208572947293665,16,78.45864916214914,47.65410879360803,37.38008023722309,42.05968338021953,38.450819672131146,75.4485748397985,45.248953001395996,65.30512926150995,80.39226892733365,45.301359942061644,50.46078964273361,54.69835129409597,32.47272727272727,42.279917342609004,43.60298414785594,28.83911907428145
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,35.66147208142999,3.6431113325477824,14.57244533019113,35.25131373346722,0.3566147208142999,0.036431113325477826,-0.003933775591403,16,43.22355369198236,38.9354636445972,12.60247688819117,28.84402348510025,32.546779268090745,54.36028220678206,27.842085450781102,68.03413812348843,46.28577136682005,45.28006011205671,37.9558481988437,30.9284332688588,10.29090909090909,26.93755280743529,40.55126341824115,25.964912280701753
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,48.7888248009597,3.2965714052056674,13.18628562082267,45.22156074789191,0.487888248009597,0.03296571405205667,-0.0214401500905982,16,68.15253717018085,47.66861625586037,37.38008023722309,42.06447698629381,38.450819672131146,69.39388784940749,45.248953001395996,65.2848739690662,69.97799400082607,45.194168494387824,50.46078964273361,54.69835129409597,32.47272727272727,41.74170427997913,43.59209761476496,28.83911907428145
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,34.069883360876055,3.6591282621806926,14.63651304872277,30.46936959903701,0.3406988336087605,0.03659128262180693,-0.0042093124771235,16,41.71760823446216,28.94251054852321,12.60247688819117,25.860034492148497,30.883425580297757,49.702714647426745,27.842085450781102,66.72551112570818,55.18970117745028,36.12649009925682,37.9558481988437,30.055313617776257,10.29090909090909,24.758625851358428,40.49996649018162,25.964912280701753
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,46.89750202676961,3.3815938494995126,13.52637539799805,41.56462169132418,0.4689750202676961,0.033815938494995125,-0.0215755514981591,16,60.81915299504006,38.66627668909038,37.38008023722309,39.49924709911718,38.15794939969257,63.928401367906154,45.248953001395996,64.84185330825783,76.36351027239816,36.28384225491408,50.46078964273361,54.26888643088762,32.47272727272727,39.63790390899189,43.49133947365646,28.83911907428145
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.873590208837975,4.63719150852654,18.54876603410616,35.53694245341942,0.3987359020883798,0.0463719150852654,0.0,16,67.42303997082661,39.59032817069208,13.065418845765661,29.293184276956357,32.11600429645542,66.26572051197499,29.099222198864833,69.11965098429967,64.67549267281603,47.001820323375085,38.377925272429955,31.044037710208933,10.300429184549351,32.69595963440888,41.051383720280846,26.857825567502978
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,52.58907422242003,3.83513954381298,15.34055817525192,47.265312072258034,0.5258907422242003,0.0383513954381298,0.0,16,79.3945641592092,48.799611995796624,38.2879163225984,43.18549111151014,39.55871822413175,76.50129021923789,47.89025150696321,66.22492122909541,81.15962375403623,46.640372637552865,52.19730387104753,56.93264820791575,45.7388105456775,43.77062184079728,44.92400569260923,30.21903624054162
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,36.05484964057029,3.663427250470245,14.65370900188098,35.24696478444269,0.3605484964057029,0.03663427250470245,0.0,16,42.82268626781415,39.74782104993736,13.065418845765661,29.293184276956357,32.11600429645542,54.56222647828943,29.099222198864833,69.02122944284537,46.06612443100897,46.48696660986839,38.377925272429955,31.044037710208933,10.300429184549351,26.99827249123315,41.01822012539433,26.857825567502978
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,50.93283981001952,3.1244284491077847,12.497713796431139,47.20977850517626,0.5093283981001953,0.03124428449107785,0.0,16,69.43766704462622,48.81322616691573,38.2879163225984,43.19161160586038,39.55871822413175,70.66324640535035,47.89025150696321,66.20433373126123,71.10118757018014,46.52930550338932,52.19730387104753,56.93264820791575,45.7388105456775,43.27224348112484,44.88793053272839,30.21903624054162
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,34.4908146085884,3.6617919939914625,14.64716797596585,30.410794847009658,0.344908146085884,0.036617919939914624,0.0,16,41.40450012546818,29.9624325406663,13.065418845765661,26.16741133209442,30.60781141668592,50.09330083214256,29.099222198864833,67.72727402987812,54.78061555780549,37.2715587101101,38.377925272429955,30.213778277333393,10.300429184549351,24.952715329293838,40.97081451682333,26.857825567502978
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,49.05505717658552,3.2428457865302227,12.97138314612089,45.24792438900125,0.4905505717658552,0.032428457865302227,0.0,16,62.23875628649315,40.15208411565903,38.2879163225984,40.48115539079394,39.284258210645525,65.33448593711941,47.89025150696321,65.76624662961537,77.24932624473875,37.43926678445229,52.19730387104753,56.54510055580331,45.7388105456775,41.29987795089447,44.757038232325,30.21903624054162
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,40.51799443521861,4.597267746778967,18.38907098711587,35.87980739248604,0.4051799443521861,0.04597267746778967,0.0064440422638062,16,67.25157432308283,40.32278973295307,14.37037037037037,30.46016823354774,31.97939369922726,67.00329659196296,29.227186370043512,70.46070306614166,64.52498754796763,47.85061896135266,38.574468085106375,31.701056618819777,11.19929453262786,33.1851466998657,41.81246689647387,28.36438923395445
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,54.455305020571274,3.7626484831690052,15.050593932676021,50.11646961957521,0.5445530502057128,0.03762648483169005,0.0186623079815124,16,80.23531868973438,50.16858917480036,42.11640211640212,44.59446141716763,40.36061026352288,77.61185913330131,50.06435006435006,67.64076248418598,82.03749668956269,47.29482364929894,53.453647416413375,59.8123504784689,53.086419753086425,45.24193706115902,46.44956484313844,31.11628709454796
