sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,model,direction,city_count,mean_R,sd_R,median_R,mean_blockage_rate,sd_blockage_rate,median_blockage_rate,mean_FA,sd_FA,median_FA,delta_mean_R,delta_mean_blockage,delta_mean_FA
composition_threshold,C45,30,45,Choice_IOM,HPM_to_LPW,16,1.1201166787310552,0.31363411480298187,1.1298874901910714,0.3406988336087605,0.14636513048722774,0.3046936959903701,0.6854224251342815,0.04682013812257221,0.6840571905176613,-0.016602633861675375,-0.004209312477123528,-0.016682914127735593
composition_threshold,C45,30,45,Choice_IOM,LPW_to_HPM,16,0.7272307155635532,0.1614592308780907,0.7341659816338063,0.4689750202676961,0.1352637539799805,0.4156462169132418,0.6854224251342815,0.04682013812257221,0.6840571905176613,0.051775209350801266,-0.02157555149815915,-0.016682914127735593
composition_threshold,P30_Baseline,30,50,Gravity,HPM_to_LPW,16,0.9979340436110008,0.2246537983147875,1.0089507447592903,0.39873590208837983,0.1854876603410616,0.3553694245341942,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,P30_Baseline,30,50,Gravity,LPW_to_HPM,16,0.5542896987253261,0.09955550206030729,0.5481376742816992,0.5258907422242003,0.15340558175251925,0.47265312072258037,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,P30_Baseline,30,50,IOM,HPM_to_LPW,16,1.276229403617954,0.4845491894278066,1.1880500795581757,0.3605484964057029,0.14653709001880988,0.3524696478444269,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,P30_Baseline,30,50,IOM,LPW_to_HPM,16,0.6597545093644995,0.1708370583329974,0.697265672514841,0.5093283981001953,0.12497713796431148,0.47209778505176264,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,P30_Baseline,30,50,Choice_IOM,HPM_to_LPW,16,1.1367193125927306,0.3482897950076207,1.0953075282562086,0.34490814608588405,0.1464716797596585,0.3041079484700966,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,P30_Baseline,30,50,Choice_IOM,LPW_to_HPM,16,0.675455506212752,0.18283796221071938,0.7092197042331906,0.49055057176585526,0.1297138314612089,0.4524792438900125,0.7021053392620171,0.05099543014884387,0.70664505984673,0.0,0.0,0.0
composition_threshold,C55,30,55,Gravity,HPM_to_LPW,16,0.9545046518237784,0.24547230168742007,0.9582714384419705,0.4051799443521861,0.18389070987115877,0.3587980739248604,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.04342939178722238,0.006444042263806293,0.01147858454248718
composition_threshold,C55,30,55,Gravity,LPW_to_HPM,16,0.5286296658756131,0.10523845778962963,0.5156472708621377,0.5445530502057128,0.15050593932676026,0.5011646961957521,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.025660032849712966,0.01866230798151247,0.01147858454248718
composition_threshold,C55,30,55,IOM,HPM_to_LPW,16,1.262709257570708,0.5585872448334314,1.1371841373876614,0.3669590606266139,0.14609420147381133,0.35276930892166825,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.013520146047246051,0.006410564220910964,0.01147858454248718
composition_threshold,C55,30,55,IOM,LPW_to_HPM,16,0.6435398855671385,0.1703845746199947,0.6719134509811737,0.5286379304935731,0.12383006410495169,0.5012205814382356,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.01621462379736105,0.01930953239337785,0.01147858454248718
composition_threshold,C55,30,55,Choice_IOM,HPM_to_LPW,16,1.1106994352957558,0.39484202941713475,1.089865519530525,0.35151781401130044,0.14530901715769912,0.30855016432618476,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.026019877296974858,0.006609667925416396,0.01147858454248718
composition_threshold,C55,30,55,Choice_IOM,LPW_to_HPM,16,0.6528569280571817,0.18919513252479198,0.6672954452507953,0.510145159509988,0.12956434846646997,0.48165776000646304,0.7135839238045043,0.05357675868208672,0.7199641521351876,-0.022598578155570315,0.019594587744132697,0.01147858454248718
composition_threshold,C60,30,60,Gravity,HPM_to_LPW,16,0.9210703719559141,0.28376728917263905,0.9370333071673727,0.40925394537090026,0.1847661308761536,0.3636237516364988,0.7270938141754986,0.047525486646213234,0.7300544878311761,-0.07686367165508667,0.010518043282520428,0.02498847491348144
composition_threshold,C60,30,60,Gravity,LPW_to_HPM,16,0.4741837739308963,0.09395440249813798,0.4651306221443175,0.5614872859917903,0.14605137416210415,0.5308003481700461,0.7270938141754986,0.047525486646213234,0.7300544878311761,-0.0801059247944298,0.03559654376759003,0.02498847491348144
composition_threshold,C60,30,60,IOM,HPM_to_LPW,16,1.2938004455013354,0.6868938045118407,1.1699273457934423,0.3712295945462003,0.14797438895884113,0.3590825291118761,0.7270938141754986,0.047525486646213234,0.7300544878311761,0.017571041883381433,0.010681098140497391,0.02498847491348144
composition_threshold,C60,30,60,IOM,LPW_to_HPM,16,0.5941030128138358,0.18153401286481272,0.5841837200210841,0.5462961451258963,0.12063060257794997,0.5308302315570916,0.7270938141754986,0.047525486646213234,0.7300544878311761,-0.06565149655066371,0.03696774702570105,0.02498847491348144
composition_threshold,C60,30,60,Choice_IOM,HPM_to_LPW,16,1.1082265448934137,0.47524429676013347,1.0188316908022736,0.3558531722656342,0.1470116398255328,0.3165279140861028,0.7270938141754986,0.047525486646213234,0.7300544878311761,-0.028492767699316968,0.010945026179750128,0.02498847491348144
