panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_R,sem_R,sd_R,median_R,delta_mean_R_vs_baseline,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6597545093644995,0.04270926458324935,0.1708370583329974,0.697265672514841,0.0,16,0.8738117183453035,0.8029098772278301,0.6904248989589928,0.522369666600433,0.747126029044875,0.9714420895251922,0.4574067126128224,0.704106446070689,0.8260058394539773,0.7289221408266312,0.7064122532260153,0.5524507314888353,0.4119995962899239,0.6793439488923266,0.4469440626301899,0.4343961386379547
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1367193125927306,0.08707244875190517,0.3482897950076207,1.0953075282562086,0.0,16,1.8930793925290383,1.0016520362602468,1.249319989336143,1.3306824909232278,1.3661397241714264,1.5160602060261854,1.0951503497705986,1.0021749408569185,1.4637611677952178,0.8592279183140753,1.1906466045584758,1.0954647067418186,0.9765154999445206,1.0908891931106677,0.4731755297220164,0.5835692514231159
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.675455506212752,0.045709490552679824,0.1828379622107193,0.7092197042331906,0.0,16,1.021281343132446,0.9420709787388116,0.590978882106344,0.6423984328532665,0.772912711536905,0.8090426734465718,0.5114559089011955,0.704410762590768,0.7140286458756132,0.8239331588755608,0.7252089511498089,0.537739304514325,0.3738691116254513,0.7475212209273236,0.4578396668614826,0.4325963462681563
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,0.991331552478954,0.05778943253033535,0.2311577301213414,1.0015531099907138,-0.0066024911320466,16,1.1416001613281634,1.0170744687020743,1.2384253010268382,1.313045457062156,0.93692563309175,1.2462866911528052,1.0914019680634766,0.8760142733774207,1.1121092684636755,0.8192838824254117,1.105250302901282,0.9628485316681734,0.9723767595107168,0.9860317512793528,0.4158611834547071,0.6267692061552633
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5575756638332211,0.030162779625083826,0.1206511185003353,0.5378847588727085,0.003285965107895,16,0.4622817371712004,0.7692039803212671,0.6268804202277966,0.5212484327783853,0.6828604206425359,0.7011220953873218,0.4156078262091026,0.561197918427837,0.5545210849670318,0.5125598811975289,0.6711083960080322,0.4615189604215862,0.4169152719233087,0.7104658650469818,0.4410642360230983,0.4126540945785228
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2793141918298807,0.1275497371077232,0.5101989484308928,1.171461968046032,0.0030847882119267,16,2.45820680364046,1.1299288832280163,1.0777119954599252,1.7065077252686334,1.3844875598443604,2.00982211733207,1.210372954289237,1.2033091503636937,1.7881578788604109,0.914219159229816,1.3443138899240137,1.089150064890891,0.9647303145470238,1.1396147857283707,0.4176302216398909,0.6308635650312769
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6830389954445512,0.05728595377543545,0.2291438151017418,0.6933005360889237,0.0232844860800516,16,0.8947442487908335,0.8041974323826618,0.6738564610760197,0.5069689082917436,1.0697259093702367,1.143945088186639,0.3954330758519811,0.7175726917568548,0.8477284087574939,0.5773891803101906,0.7127446111018277,0.5102036022002677,0.4719524898395298,0.7505179018870973,0.4442312047812388,0.407412712528203
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.142786078944407,0.09366351262333775,0.374654050493351,1.1083145879138283,0.0060667663516766,16,2.0199332359017643,0.9936032087628068,1.245708539127116,1.313947853481927,1.4301125424561765,1.5738000086133186,1.109296970269264,1.005095011133247,1.4000472902958707,0.859057083030593,1.1441303054538234,1.1073322055583927,0.9725008949710832,1.0754221859006563,0.4134068191137082,0.6211831090407683
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.6931344086548122,0.05759464054627673,0.2303785621851069,0.6802210360218324,0.0176789024420602,16,1.0810892355187718,0.9604946906229476,0.5948759599534916,0.6305175621833745,1.0684141555597768,0.9427723915857248,0.4335683237989733,0.7071882842138023,0.7226506926207058,0.6532537878298624,0.7342722897732681,0.5056123602291821,0.3759697920757826,0.8122077600034584,0.4565262726196002,0.4107369798882744
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,1.0015095200547104,0.057116987096184076,0.2284679483847363,1.077591570189908,0.0035754764437095,16,1.1431816779906283,1.107312128339901,1.2337294705358812,1.3216911010807275,0.9195960776326172,1.2076389419800324,1.0935964581910025,0.8397477850369687,1.0779387247907577,0.8123463864544831,1.0772444155890586,1.0244208012719995,1.1205729477599604,0.9535208526878076,0.4198755545650531,0.6717389969684856
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.6199606466256675,0.05119733897120705,0.2047893558848282,0.5848279739950721,0.0656709479003414,16,0.5109153174951814,1.2583802266858646,0.7346012826531125,0.5762177053612676,0.4919738531533406,0.7310728234356818,0.4246106920542803,0.5719975344851073,0.6167140750087345,0.5934382426288768,0.7007432721431376,0.6152830014157209,0.4460054307552407,0.7499274019555054,0.5272367911993897,0.370252695580239
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2913935362655973,0.12590494942544514,0.5036197977017806,1.2119397215007155,0.0151641326476432,16,2.468840823909513,1.2251763929025037,1.0562329345993444,1.7472866487372096,1.3518520965378449,2.050089879516898,1.2267638453537704,1.1014473158202862,1.707030383001947,0.9001992912881257,1.3022189232947363,1.1987030500989273,1.1405116130342028,1.085347310369846,0.4220510493082888,0.6785450224761128
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.7734143730147656,0.06528356674938104,0.2611342669975242,0.7490663291349386,0.113659863650266,16,1.0314718853004168,1.3400033474399502,0.8106655199379293,0.575320406011403,0.7606233824737642,1.2049154035583278,0.4040424316004173,0.7093976906413743,0.9276852786034684,0.667754743692008,0.737509275796113,0.7146286977868754,0.8037652017465038,0.7927035512680769,0.5299255552812051,0.3642175970984146
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1602455834123704,0.0944382747971229,0.3777530991884916,1.1349659714351124,0.0235262708196397,16,2.1007478704110354,1.0860468792548417,1.2034029213470048,1.3410642604812937,1.3885701356982127,1.5715391676776411,1.1279268748242322,0.9409027317493884,1.3504375469854544,0.8519441143323871,1.1128566761675545,1.2234535218529825,1.1420050680459926,1.035982279434971,0.4180743373204753,0.6689749490144605
