city,origin_geoid,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_NH_White_alone_ACS_15_19,total_flow,od_flow,do_flow,num_connections,weighted_avg_asymmetry,net_flow
New York,360810188001,14.49,1.24,53583.0,39262.0,14321.0,3402,0.6614597913517347,24941.0
New York,360810189001,7.41,34.84,26948.0,20077.0,6871.0,2188,0.7333382811340359,13206.0
New York,360810189002,3.78,21.38,63292.0,33145.0,30147.0,3819,0.7376603678189977,2998.0
New York,360810189003,31.17,38.08,32765.0,22740.0,10025.0,2422,0.7298336639707005,12715.0
New York,360810190001,14.34,3.52,55452.0,27048.0,28404.0,3083,0.6282190002164034,-1356.0
New York,360810190002,2.66,1.16,48738.0,41308.0,7430.0,2947,0.7839057819360663,33878.0
New York,360810192001,1.61,3.39,53463.0,38296.0,15167.0,3607,0.6964629743935058,23129.0
New York,360810192002,6.0,0.37,32959.0,26182.0,6777.0,2401,0.721714857853697,19405.0
New York,360810194001,21.0,0.0,42553.0,30271.0,12282.0,3570,0.6651704932672197,17989.0
New York,360810194002,3.72,2.17,93455.0,66384.0,27071.0,4255,0.6374725803862822,39313.0
New York,360810196001,9.44,1.07,71265.0,47994.0,23271.0,3548,0.6668490844032835,24723.0
New York,360810196002,8.49,0.88,48376.0,36082.0,12294.0,3106,0.6995617661650405,23788.0
New York,360810198001,10.65,0.0,35445.0,23046.0,12399.0,2613,0.6664691775990972,10647.0
New York,360810198002,13.18,3.16,46332.0,33658.0,12674.0,2997,0.6531554864888198,20984.0
New York,360810198003,26.82,0.0,45742.0,39063.0,6679.0,3148,0.7888155305845831,32384.0
New York,360810199002,39.48,27.95,86435.0,26679.0,59756.0,5145,0.7373749059987273,-33077.0
New York,360810202001,5.24,0.62,59456.0,40799.0,18657.0,4196,0.6406081808396125,22142.0
New York,360810204001,28.27,4.45,52516.0,26303.0,26213.0,3353,0.6693198263386396,90.0
New York,360810204002,9.97,3.94,46652.0,33567.0,13085.0,3134,0.6488467804167024,20482.0
New York,360810205001,16.04,16.51,60239.0,12626.0,47613.0,4114,0.8206477531167516,-34987.0
New York,360810205002,6.12,6.33,37574.0,30680.0,6894.0,3050,0.8385053494437643,23786.0
New York,360810206001,9.65,9.11,92087.0,52697.0,39390.0,4206,0.6078273806291876,13307.0
New York,360810208001,13.66,12.38,164927.0,43945.0,120982.0,5645,0.667974315909463,-77037.0
New York,360810208002,6.18,10.94,146990.0,47041.0,99949.0,5269,0.6685216681406898,-52908.0
New York,360810212001,19.38,0.0,160520.0,22557.0,137963.0,5024,0.7772863194617493,-115406.0
New York,360810212002,42.81,11.66,75723.0,32015.0,43708.0,4585,0.6147801856767429,-11693.0
New York,360810214001,13.85,15.57,60585.0,49877.0,10708.0,3358,0.7482545184451597,39169.0
New York,360810214002,0.94,8.97,83359.0,42055.0,41304.0,4205,0.6223803068654854,751.0
New York,360810214003,34.23,0.88,159607.0,76425.0,83182.0,5226,0.5623625530208575,-6757.0
New York,360810216001,8.33,45.41,151222.0,47578.0,103644.0,5287,0.7003213818095251,-56066.0
New York,360810216002,9.0,26.76,52698.0,27876.0,24822.0,3761,0.6193024403203158,3054.0
New York,360810216003,8.39,17.28,49766.0,18634.0,31132.0,3639,0.6094120483864486,-12498.0
New York,360810220011,0.0,82.38,21753.0,15788.0,5965.0,2002,0.7901898588700409,9823.0
New York,360810220012,19.58,24.01,66954.0,54195.0,12759.0,4152,0.7908414732502912,41436.0
New York,360810220013,7.91,39.45,79975.0,25224.0,54751.0,3618,0.7403938730853392,-29527.0
New York,360810220014,8.17,17.25,35456.0,27822.0,7634.0,2706,0.7638199458483754,20188.0
New York,360810220021,0.0,43.96,26198.0,17637.0,8561.0,2550,0.7691426826475304,9076.0
New York,360810220022,8.82,28.16,39929.0,31180.0,8749.0,2899,0.7246111848531143,22431.0
New York,360810220023,6.19,30.19,67341.0,56254.0,11087.0,3524,0.7700063854115621,45167.0
New York,360810220024,8.4,26.62,65265.0,38967.0,26298.0,3456,0.6653336397762967,12669.0
New York,360810230001,12.56,19.11,33132.0,15177.0,17955.0,2635,0.671194011831462,-2778.0
New York,360810230002,12.12,40.42,33028.0,24568.0,8460.0,2547,0.7238706552016471,16108.0
New York,360810232001,0.99,33.77,26550.0,21031.0,5519.0,2178,0.7674576271186441,15512.0
New York,360810232002,4.67,23.36,67295.0,49620.0,17675.0,3426,0.6933798944943904,31945.0
New York,360810232003,19.79,4.44,73019.0,37998.0,35021.0,3536,0.6466399156383955,2977.0
New York,360810235001,6.16,5.71,72581.0,55148.0,17433.0,3854,0.742797701877902,37715.0
New York,360810235002,7.98,19.91,72948.0,44907.0,28041.0,3990,0.6825135713110709,16866.0
New York,360810235003,20.53,0.85,74032.0,61477.0,12555.0,3699,0.7790955262589151,48922.0
New York,360810235004,13.37,42.36,78856.0,19262.0,59594.0,3666,0.749898549254337,-40332.0
New York,360810236001,20.06,19.97,65043.0,28891.0,36152.0,3404,0.620466460649109,-7261.0
New York,360810236002,11.19,1.94,92785.0,43893.0,48892.0,4321,0.5801476531766988,-4999.0
New York,360810238001,17.46,0.0,44763.0,15220.0,29543.0,3124,0.63787056274155,-14323.0
New York,360810238002,20.97,2.68,71870.0,27940.0,43930.0,3699,0.5539446222345902,-15990.0
New York,360810238003,14.29,3.44,69398.0,49070.0,20328.0,4303,0.7008847517219516,28742.0
New York,360810238004,28.98,0.0,30151.0,19407.0,10744.0,3044,0.6820669297867401,8663.0
New York,360810240001,15.06,3.18,137986.0,39123.0,98863.0,4590,0.6119606336874756,-59740.0
New York,360810240002,18.93,1.75,247067.0,64292.0,182775.0,5354,0.6451003169180829,-118483.0
New York,360810240003,15.99,1.72,66735.0,37827.0,28908.0,4046,0.6098898628905371,8919.0
New York,360810243001,5.87,39.61,29099.0,20079.0,9020.0,2522,0.753393587408502,11059.0
New York,360810243002,3.65,48.25,61106.0,35894.0,25212.0,4022,0.806631100055641,10682.0
New York,360810243003,6.54,15.71,62892.0,49124.0,13768.0,3738,0.7267697004388476,35356.0
New York,360810243004,4.63,25.14,81824.0,60202.0,21622.0,3781,0.7037543996871334,38580.0
New York,360810245001,4.35,63.1,48574.0,35513.0,13061.0,3327,0.7279202865730637,22452.0
New York,360810245002,13.08,41.59,35793.0,25295.0,10498.0,2745,0.7375464476294248,14797.0
New York,360810245003,5.7,29.96,30779.0,11274.0,19505.0,2786,0.70349913902336,-8231.0
New York,360810245004,10.37,32.64,33041.0,26898.0,6143.0,2905,0.828455555219273,20755.0
New York,360810247001,10.75,14.6,70136.0,46958.0,23178.0,4173,0.64366373902133,23780.0
New York,360810249001,23.44,17.23,91947.0,57913.0,34034.0,3947,0.6371605381361002,23879.0
New York,360810249002,5.41,21.71,50498.0,36549.0,13949.0,3221,0.7103251613925304,22600.0
New York,360810249003,7.89,17.2,85874.0,46395.0,39479.0,3795,0.6473204928150547,6916.0
New York,360810251001,2.66,52.28,108362.0,53951.0,54411.0,4123,0.4480352891234935,-460.0
New York,360810251002,11.75,25.21,99956.0,55645.0,44311.0,3770,0.5620673096162312,11334.0
New York,360810251003,4.79,25.28,56218.0,30546.0,25672.0,3570,0.598100252588139,4874.0
New York,360810251004,16.01,12.38,44032.0,30174.0,13858.0,2614,0.6537063953488372,16316.0
New York,360810253011,6.65,55.94,20213.0,12872.0,7341.0,1828,0.6337010834611388,5531.0
New York,360810253012,8.81,20.33,46058.0,21338.0,24720.0,3435,0.6482261496374137,-3382.0
New York,360810253013,12.35,44.9,59408.0,23837.0,35571.0,3675,0.6343926743872879,-11734.0
New York,360810253014,9.24,31.09,33118.0,20134.0,12984.0,2443,0.6417054169937798,7150.0
New York,360810253021,14.18,21.82,66086.0,49762.0,16324.0,3828,0.6792361468389674,33438.0
New York,360810253022,7.76,30.69,69199.0,29752.0,39447.0,3694,0.6382606685067703,-9695.0
New York,360810254001,16.31,0.0,64256.0,39154.0,25102.0,3594,0.658210906374502,14052.0
New York,360810254002,16.1,16.1,48683.0,31789.0,16894.0,3245,0.6583201528254216,14895.0
New York,360810254003,31.12,0.0,64687.0,48295.0,16392.0,3628,0.6907570300060291,31903.0
New York,360810254004,10.05,0.0,38001.0,30975.0,7026.0,2773,0.7642693613325965,23949.0
New York,360810254005,21.03,0.0,76638.0,59848.0,16790.0,4203,0.7203998016649704,43058.0
New York,360810254006,8.6,0.0,50824.0,30890.0,19934.0,3658,0.6577994648197701,10956.0
New York,360810255001,10.5,20.47,100723.0,34381.0,66342.0,4570,0.6576352968041063,-31961.0
New York,360810257001,7.92,21.27,107799.0,57129.0,50670.0,4465,0.5928162598910937,6459.0
New York,360810258001,6.15,0.5,128497.0,64660.0,63837.0,3820,0.5131248200347089,823.0
New York,360810258002,34.15,0.19,38304.0,25848.0,12456.0,2941,0.6439014202172096,13392.0
New York,360810259001,10.89,19.61,90259.0,58454.0,31805.0,3856,0.6843306484671888,26649.0
New York,360810259002,11.78,8.62,105951.0,35360.0,70591.0,4227,0.6521410840860398,-35231.0
New York,360810260001,26.04,3.0,74557.0,41772.0,32785.0,3778,0.5180868328929544,8987.0
New York,360810260002,7.76,0.25,69663.0,56082.0,13581.0,3734,0.7527812468598826,42501.0
New York,360810261001,8.59,4.4,50107.0,33012.0,17095.0,3537,0.6418863631827888,15917.0
New York,360810261002,10.19,1.29,65751.0,55240.0,10511.0,3226,0.7748171130477103,44729.0
New York,360810261003,11.76,6.52,63262.0,49976.0,13286.0,3326,0.7122127027283361,36690.0
New York,360810261004,26.14,20.42,177124.0,47237.0,129887.0,4914,0.6772317698335629,-82650.0
New York,360810262001,5.2,0.71,50169.0,34761.0,15408.0,3473,0.6339572245809165,19353.0
New York,360810263001,17.51,11.46,84267.0,46602.0,37665.0,4615,0.6209192210473851,8937.0
New York,360810263002,15.47,9.46,133390.0,76177.0,57213.0,4685,0.6190868880725692,18964.0
New York,360810263003,8.09,18.9,67524.0,49546.0,17978.0,3576,0.6382915704045968,31568.0
New York,360810264001,20.31,1.14,41109.0,24750.0,16359.0,3162,0.6438736043202219,8391.0
New York,360810264002,11.46,0.0,47332.0,33569.0,13763.0,3359,0.6552438096847798,19806.0
New York,360810265001,9.74,11.36,185472.0,46370.0,139102.0,5338,0.6801134403036577,-92732.0
New York,360810265002,8.58,5.96,92569.0,68671.0,23898.0,3992,0.6865257267551772,44773.0
New York,360810266001,23.15,1.38,68041.0,34335.0,33706.0,3225,0.557208153907203,629.0
New York,360810267001,22.83,4.99,130264.0,70793.0,59471.0,4380,0.5785942393907757,11322.0
New York,360810267002,11.54,13.89,163348.0,43494.0,119854.0,4561,0.7065406371672748,-76360.0
New York,360810267003,14.76,6.06,299656.0,62757.0,236899.0,5604,0.7277945377366046,-174142.0
New York,360810269011,14.36,4.11,143174.0,38632.0,104542.0,4544,0.657940687555003,-65910.0
New York,360810269012,10.27,7.48,47922.0,33771.0,14151.0,2293,0.6618672008680773,19620.0
New York,360810269013,5.95,3.4,47530.0,33332.0,14198.0,2580,0.6491899852724595,19134.0
New York,360810269014,2.22,1.04,64956.0,27624.0,37332.0,3560,0.604686249153273,-9708.0
New York,360810269021,17.35,5.95,80247.0,53483.0,26764.0,3454,0.6472640721771531,26719.0
New York,360810269022,11.07,4.72,68369.0,42030.0,26339.0,3329,0.6245374365575042,15691.0
New York,360810270001,15.08,3.88,84582.0,56228.0,28354.0,3960,0.6288335579674162,27874.0
New York,360810271001,1.48,2.43,71569.0,33152.0,38417.0,3613,0.5299361455378725,-5265.0
New York,360810271002,10.82,10.22,53736.0,44182.0,9554.0,2818,0.7273708500818818,34628.0
New York,360810271003,23.93,2.33,62926.0,44191.0,18735.0,2871,0.6349044909894161,25456.0
New York,360810271004,6.8,0.0,44816.0,32601.0,12215.0,2776,0.6453498750446269,20386.0
New York,360810271005,19.46,5.29,72247.0,46113.0,26134.0,3346,0.5691724223843204,19979.0
New York,360810272001,3.42,0.82,65688.0,30440.0,35248.0,3405,0.605681402995981,-4808.0
New York,360810272002,9.37,0.89,48055.0,36850.0,11205.0,3252,0.7038393507439392,25645.0
New York,360810273001,3.98,12.52,51340.0,28244.0,23096.0,2481,0.6339696143358006,5148.0
New York,360810273002,8.45,2.65,65706.0,31707.0,33999.0,3370,0.6179344352113962,-2292.0
New York,360810273003,11.58,0.54,83881.0,44087.0,39794.0,3601,0.5789988197565599,4293.0
New York,360810273004,7.82,0.0,135980.0,47719.0,88261.0,4457,0.6045889101338432,-40542.0
New York,360810273005,9.24,0.0,70922.0,43217.0,27705.0,3319,0.547954090409182,15512.0
New York,360810274001,11.58,0.0,64729.0,54923.0,9806.0,3491,0.7835282485439293,45117.0
New York,360810275001,1.38,17.56,40814.0,30325.0,10489.0,2339,0.7296025873474788,19836.0
New York,360810275002,21.43,2.45,70022.0,49783.0,20239.0,3321,0.6319728085458856,29544.0
New York,360810275003,28.8,1.51,134428.0,57852.0,76576.0,4442,0.5545273306156455,-18724.0
New York,360810276001,2.62,3.43,60002.0,38397.0,21605.0,3371,0.6354121529282357,16792.0
New York,360810277001,12.72,17.76,26945.0,18189.0,8756.0,2271,0.6453516422341807,9433.0
New York,360810277002,24.97,6.87,70465.0,42877.0,27588.0,3837,0.6241822181224721,15289.0
New York,360810277003,6.43,7.16,70498.0,57417.0,13081.0,3222,0.7370989247921926,44336.0
New York,360810277004,11.76,1.44,93843.0,47843.0,46000.0,3745,0.5483094103982183,1843.0
New York,360810277005,15.41,8.12,79422.0,43878.0,35544.0,3802,0.4950013850066732,8334.0
New York,360810278001,9.87,1.72,31129.0,22585.0,8544.0,2550,0.6811333483247133,14041.0
New York,360810278002,35.57,0.0,48704.0,31067.0,17637.0,3091,0.6535397503285151,13430.0
New York,360810279001,2.25,25.46,58521.0,29390.0,29131.0,3379,0.6288511816271082,259.0
New York,360810279002,14.02,5.22,90592.0,63026.0,27566.0,3835,0.5827887672200636,35460.0
New York,360810279003,17.4,16.46,94018.0,38512.0,55506.0,4011,0.5920568401795401,-16994.0
New York,360810279004,27.22,51.48,21490.0,11328.0,10162.0,1864,0.5730107026523965,1166.0
New York,360810280001,2.34,0.84,74386.0,56255.0,18131.0,3912,0.6760143037668378,38124.0
New York,360810281001,29.04,17.25,74475.0,46060.0,28415.0,3972,0.6268009399127223,17645.0
New York,360810281002,2.96,35.64,45248.0,33959.0,11289.0,2599,0.7026608910891089,22670.0
New York,360810281003,2.18,49.89,52448.0,25595.0,26853.0,3391,0.5893456375838926,-1258.0
New York,360810281004,15.01,32.77,245930.0,106352.0,139578.0,5579,0.4231691944862359,-33226.0
New York,360810282001,10.72,1.53,63405.0,38143.0,25262.0,3441,0.5955208579765002,12881.0
New York,360810283001,24.54,23.56,42486.0,23803.0,18683.0,2774,0.6234524313891635,5120.0
New York,360810283002,14.21,37.81,37673.0,23336.0,14337.0,2676,0.6419717038728001,8999.0
New York,360810283003,13.07,12.4,109668.0,26699.0,82969.0,4344,0.6933836670678776,-56270.0
