city,bin_id,city_bin_median_R,city_bin_n
Chicago,8,2.908529778634912,19496
Chicago,9,2.7215656605821783,11626
Boston,0,1.0190829221829127,235
Boston,1,0.8408813747025947,472
Boston,2,0.8110576353776858,773
Boston,3,0.6873083243143314,1250
Boston,4,0.5723589818363312,1505
Boston,5,0.4685364041365438,1287
Boston,6,0.4759183598608409,1152
Boston,7,0.4804146887444457,1196
Boston,8,0.455779373613291,907
Boston,9,0.4805233869960261,456
Detroit,0,1.110423471094936,1603
Detroit,1,1.0881362013754876,2816
Detroit,2,1.0409380100596255,5193
Detroit,3,1.1739279983001525,10417
Detroit,4,1.258764541484,12571
Detroit,5,1.3832749235017532,13457
Detroit,6,1.3510939131868116,14617
Detroit,7,1.1913782339962151,17225
Detroit,8,1.1386474007526457,19581
Detroit,9,1.2282100190004102,15445
St. Louis,0,0.94974663900572,234
St. Louis,1,0.7951691881481621,321
St. Louis,2,0.669805868155815,545
St. Louis,3,0.78598197490534,863
St. Louis,4,0.9129661539970444,1045
St. Louis,5,1.3465380096312622,1164
St. Louis,6,1.3100025788981795,1163
St. Louis,7,1.4303674255305432,1078
St. Louis,8,2.4820579104591385,938
St. Louis,9,2.655577975171465,718
New York,0,1.5778901553645863,6708
New York,1,1.3318716078642323,11698
New York,2,1.2447580128185185,18817
New York,3,1.1475519073909848,38989
New York,4,1.263992407486098,48754
New York,5,1.1858806074212314,48402
New York,6,1.180217441331315,41534
New York,7,1.4185971838348983,32026
New York,8,1.80456070425243,24082
New York,9,1.9464754438166696,16128
Pittsburgh,0,0.6556952845320048,600
Pittsburgh,1,0.7309936917540742,984
Pittsburgh,2,0.6527937526014718,1575
Pittsburgh,3,0.5721569697406315,2464
Pittsburgh,4,0.6615371079317636,3373
Pittsburgh,5,0.5121617065228065,4145
Pittsburgh,6,0.4741182782868837,4259
Pittsburgh,7,0.4653277581245154,3952
Pittsburgh,8,0.4620389317140901,3388
Pittsburgh,9,0.4263177383142594,2644
Philadelphia,0,0.8960421843046205,1150
Philadelphia,1,0.9751115771422144,2133
Philadelphia,2,0.930909516415722,4052
Philadelphia,3,0.8522184951866699,7669
Philadelphia,4,0.8377142297071057,9567
Philadelphia,5,0.7598972821513803,10593
Philadelphia,6,0.7562865792932214,9958
Philadelphia,7,0.7024121439652439,9219
Philadelphia,8,0.6181457297272814,7006
Philadelphia,9,0.5450004114753106,4627
Dallas,0,0.7509922463349727,1395
Dallas,1,0.5689866264679597,2602
Dallas,2,0.4910601446509064,3884
Dallas,3,0.5262763108547822,6372
Dallas,4,0.483209905655232,6240
Dallas,5,0.3856028244635686,5503
Dallas,6,0.3433490393247853,4806
Dallas,7,0.3200657543085653,3999
Dallas,8,0.3020848659074503,2666
Dallas,9,0.3036062164222911,1523
Houston,0,0.9588850570560816,2820
Houston,1,0.9404374542776004,5214
Houston,2,0.7449276479710316,11371
Houston,3,0.65893440093885,23099
Houston,4,0.5521611481775553,25450
Houston,5,0.4858907164195791,22297
Houston,6,0.4606870410117422,16157
Houston,7,0.4594314031012078,12349
Houston,8,0.4411852618533789,7841
Houston,9,0.3665445308610315,3550
